,sale_id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition_build,sqft_above,sqft_basement,yr_built,yr_renovated
0,0,3.0,2.0,1340,1384,3.0,0,0,3,1340,0,2008,0
1,1,4.0,3.25,3540,159430,2.0,0,0,3,3540,0,2007,0
2,2,5.0,6.5,7270,130017,2.0,0,0,3,6420,850,2010,0
3,3,3.0,2.25,998,904,2.0,0,0,3,798,200,2007,0
4,4,5.0,2.75,3060,7015,1.0,0,0,5,1600,1460,1979,0
5,5,3.0,2.5,2130,6969,2.0,0,0,3,2130,0,2003,0
6,6,4.0,2.0,2520,6000,1.0,0,0,3,1400,1120,1921,2007
7,7,4.0,1.0,1940,9533,1.0,0,0,3,1080,860,1962,2003
8,8,3.0,2.5,1350,1250,3.0,0,0,3,1270,80,2006,0
9,9,4.0,2.5,2160,5298,2.5,0,0,4,2160,0,1902,0
10,10,3.0,2.5,1370,1350,2.0,0,0,3,1010,360,2007,0
11,11,4.0,4.5,5420,101930,1.0,0,0,3,3890,1530,2001,0
12,12,4.0,2.5,2830,5000,2.0,0,0,3,2830,0,1995,0
13,13,3.0,2.5,2010,2287,2.0,0,0,3,1390,620,2014,0
14,14,4.0,2.75,3300,12090,2.0,0,0,3,3300,0,1953,0
15,15,2.0,2.5,1230,1391,2.0,0,0,3,870,360,2004,2003
16,16,3.0,1.5,1720,7119,1.5,0,0,4,1720,0,1952,0
17,17,1.0,1.0,810,2451,1.0,0,0,5,810,0,1941,0
18,18,3.0,1.75,1560,8078,1.5,1,4,4,1560,0,1928,0
19,19,3.0,2.0,2560,216777,1.0,0,0,3,2560,0,1986,0
20,20,4.0,3.25,4700,38412,2.0,0,0,3,3420,1280,1978,0
21,21,2.0,1.0,1220,2500,1.0,0,0,3,770,450,1910,2006
22,22,5.0,2.75,3650,20150,1.0,0,0,4,2360,1290,1975,0
23,23,3.0,3.25,2170,12508,1.5,0,0,5,1650,520,1928,1970
24,24,4.0,2.25,2540,228254,1.0,0,0,3,1450,1090,1990,2009
25,25,2.0,1.0,910,4500,1.5,0,0,4,910,0,1906,1990
26,26,4.0,2.5,2980,4930,2.0,0,0,3,2890,90,2000,0
27,27,4.0,1.75,2120,4650,1.0,0,1,3,1190,930,1951,1994
28,28,4.0,3.5,3460,3997,2.0,0,0,3,2560,900,2004,2003
29,29,5.0,3.0,2480,10090,1.0,0,0,3,1300,1180,2004,2003
30,30,3.0,2.25,2200,16921,2.0,0,0,3,2200,0,1987,2000
31,31,4.0,2.0,1730,5500,1.0,0,0,5,1010,720,1943,0
32,32,3.0,2.5,2920,34527,1.0,0,4,4,1800,1120,1954,1983
33,33,3.0,1.0,990,8012,1.0,0,0,4,990,0,1966,0
34,34,4.0,2.5,3040,6887,2.0,0,0,3,3040,0,1999,0
35,35,5.0,3.0,4530,258746,1.5,0,0,4,3200,1330,2003,0
36,36,3.0,1.5,1370,8470,1.0,0,0,4,1370,0,1961,2001
37,37,3.0,2.5,1940,4927,2.0,0,0,3,1940,0,2004,2003
38,38,3.0,2.5,1040,2643,2.0,0,0,3,720,320,2004,2003
39,39,4.0,2.25,1800,8623,1.0,0,0,4,1360,440,1980,0
40,40,3.0,1.75,1720,5000,1.0,0,0,3,1720,0,1954,2014
41,41,3.0,1.0,980,6380,1.0,0,0,3,760,220,1941,1994
42,42,4.0,2.5,3110,6142,2.0,0,0,3,3110,0,2004,2003
43,43,5.0,3.0,2100,7715,1.0,0,0,3,1250,850,2013,1923
44,44,3.0,1.5,2020,11358,1.0,0,0,4,1190,830,1956,0
45,45,4.0,1.75,2350,11914,1.0,0,0,4,2350,0,1961,2001
46,46,4.0,2.25,3290,12329,1.5,0,0,4,3290,0,1968,0
47,47,5.0,2.25,2180,7813,2.0,0,0,3,2180,0,1986,0
48,48,2.0,2.25,1290,1334,3.0,0,0,3,1290,0,2007,0
49,49,3.0,1.0,1460,9750,1.0,0,0,4,1460,0,1969,0
50,50,2.0,1.0,1290,2828,2.0,0,0,3,1290,0,2008,0
51,51,4.0,2.5,2350,3150,1.5,0,0,4,1690,660,1910,0
52,52,3.0,1.0,1080,8100,1.0,0,0,4,1080,0,1955,2009
53,53,4.0,2.5,2670,13463,2.0,0,0,4,2670,0,1989,0
54,54,4.0,3.25,3680,5759,2.0,0,0,3,2840,840,2003,0
55,55,3.0,1.75,1440,8040,1.0,0,0,3,960,480,1951,1994
56,56,4.0,1.75,1940,4800,1.0,0,0,5,1030,910,1922,1956
57,57,3.0,1.0,1280,9898,1.0,0,0,3,1280,0,1968,1997
58,58,3.0,2.75,2980,27144,1.5,1,2,5,2180,800,1917,0
59,59,3.0,1.0,970,8580,1.0,0,0,3,970,0,1959,1989
60,60,4.0,3.0,2110,5000,1.5,0,2,4,1640,470,1930,0
61,61,2.0,2.5,1480,1369,3.0,0,0,3,1480,0,2009,0
62,62,2.0,1.0,700,10540,1.0,0,0,3,700,0,1953,0
63,63,3.0,2.0,2700,6120,1.0,0,0,4,1350,1350,1962,0
64,64,4.0,3.25,2330,9687,2.0,0,3,3,2330,0,1918,0
65,65,5.0,1.75,3380,20021,1.0,0,0,4,1690,1690,1963,0
66,66,4.0,2.75,2600,2750,1.5,0,0,3,1620,980,1936,0
67,67,2.0,1.75,1360,8100,1.0,0,0,3,860,500,1975,0
68,68,4.0,2.5,2780,6369,1.0,0,0,3,1590,1190,1978,0
69,69,3.0,1.0,1250,53143,1.0,0,0,5,1250,0,1945,0
