,sale_id,street,city,statezip,country
0,0,9245-9249 Fremont Ave N,Seattle,WA 98103,USA
1,1,33001 NE 24th St,Carnation,WA 98014,USA
2,2,7070 270th Pl SE,Issaquah,WA 98029,USA
3,3,820 NW 95th St,Seattle,WA 98117,USA
4,4,10834 31st Ave SW,Seattle,WA 98146,USA
5,5,Cedar to Green River Trail,Maple Valley,WA 98038,USA
6,6,6521 Fremont Ave N,Seattle,WA 98103,USA
7,7,9908 S 210th Pl,Kent,WA 98031,USA
8,8,5940 California Ave SW,Seattle,WA 98136,USA
9,9,906 17th Ave,Seattle,WA 98122,USA
10,10,5411 Fauntleroy Way SW,Seattle,WA 98136,USA
11,11,25005 NE Patterson Way,Redmond,WA 98053,USA
12,12,3503 NE 43rd St,Seattle,WA 98105,USA
13,13,2500 Mulberry Walk NE,Issaquah,WA 98029,USA
14,14,9155 NE 21st Pl,Clyde Hill,WA 98004,USA
15,15,106 24th Ave E,Seattle,WA 98112,USA
16,16,17050 14th Avenue Northeast,Shoreline,WA 98155,USA
17,17,9413 34th Ave SW,Seattle,WA 98126,USA
18,18,3603 W Mercer Way,Mercer Island,WA 98040,USA
19,19,19211 SE 342nd St,Auburn,WA 98092,USA
20,20,3709 131st Ave NE,Bellevue,WA 98005,USA
21,21,3017 SW Hinds St,Seattle,WA 98126,USA
22,22,1216 86th Ave NE,Bellevue,WA 98004,USA
23,23,4436-4446 W Mercer Way,Mercer Island,WA 98040,USA
24,24,31907 NE 139th St,Duvall,WA 98019,USA
25,25,4430 Letitia Ave S,Seattle,WA 98118,USA
26,26,16512 SE 64th Pl,Bellevue,WA 98006,USA
27,27,9214 Cyrus Ave NW,Seattle,WA 98117,USA
28,28,2346 N 59th St,Seattle,WA 98103,USA
29,29,5537 S 119th St,Seattle,WA 98178,USA
30,30,21709 SE 255th Pl,Maple Valley,WA 98038,USA
31,31,7953 14th Ave SW,Seattle,WA 98106,USA
32,32,5220 SW Pritchard St,Seattle,WA 98116,USA
33,33,16411 120th Ave SE,Renton,WA 98058,USA
34,34,215 243rd Ave SE,Sammamish,WA 98074,USA
35,35,20325 NE 198th St,Woodinville,WA 98077,USA
36,36,2420 Dogwood St SE,Auburn,WA 98092,USA
37,37,17217 Woodside Dr SE,Renton,WA 98058,USA
38,38,5145 S Roxbury St,Seattle,WA 98118,USA
39,39,11725 NE 102nd Pl,Kirkland,WA 98033,USA
40,40,1614 33rd Ave,Seattle,WA 98122,USA
41,41,1733 NE 88th St,Seattle,WA 98115,USA
42,42,11461-11577 172nd Ave NE,Redmond,WA 98052,USA
43,43,1047-1099 S 130th St,Burien,WA 98168,USA
44,44,11618 NE 65th St,Kirkland,WA 98033,USA
45,45,8223 SE 71st St,Mercer Island,WA 98040,USA
46,46,9202 SE 46th St,Mercer Island,WA 98040,USA
47,47,26405 218th Ave SE,Maple Valley,WA 98038,USA
48,48,5900 20th Ave NW,Seattle,WA 98107,USA
49,49,30928 148th Ave SE,Kent,WA 98042,USA
50,50,23549 NE 111th St,Redmond,WA 98053,USA
51,51,4410 Burke Ave N,Seattle,WA 98103,USA
52,52,20248 20th Ave NE,Shoreline,WA 98155,USA
53,53,24127 SE 45th Pl,Issaquah,WA 98029,USA
54,54,570 Wilderness Peak Dr NW,Issaquah,WA 98027,USA
55,55,11521 22nd Ave NE,Seattle,WA 98125,USA
56,56,414 14th Ave,Seattle,WA 98122,USA
57,57,13222 NE 193rd Pl,Woodinville,WA 98072,USA
58,58,Indian Trail,Burien,WA 98166,USA
59,59,29621 18th Ave S,Federal Way,WA 98003,USA
60,60,9319 45th Ave SW,Seattle,WA 98136,USA
61,61,8107 165th Ave NE,Redmond,WA 98052,USA
62,62,124 SW 185th St,Normandy Park,WA 98166,USA
63,63,124 NE 61st St,Seattle,WA 98115,USA
64,64,731 McGilvra Blvd E,Seattle,WA 98112,USA
65,65,9640 NE 32nd St,Clyde Hill,WA 98004,USA
66,66,2455 Queen Anne Ave N,Seattle,WA 98109,USA
67,67,13730 2nd Ave NW,Seattle,WA 98177,USA
68,68,9311 NE 142nd St,Kirkland,WA 98034,USA
69,69,19693-19799 SE Maple Valley Hwy,Maple Valley,WA 98038,USA
70,70,16580 SE 57th Pl,Bellevue,WA 98006,USA
71,71,16251 12th Ave SW,Burien,WA 98166,USA
72,72,618 NW 49th St,Seattle,WA 98107,USA
73,73,950 NW 60th St,Seattle,WA 98107,USA
74,74,8434 W Mercer Way,Mercer Island,WA 98040,USA
75,75,23014 Vashon Hwy SW,Vashon,WA 98070,USA
76,76,3219 34th Ave W,Seattle,WA 98199,USA
77,77,10442 SE 13th St,Bellevue,WA 98004,USA
78,78,5650 Fauntleroy Way SW,Seattle,WA 98136,USA
79,79,1716 California Ave SW,Seattle,WA 98116,USA
80,80,7815 Stroud Ave N,Seattle,WA 98103,USA
81,81,10774 155th Pl NE,Redmond,WA 98052,USA
82,82,22442-22446 Southeast 281st Court,Maple Valley,WA 98038,USA
83,83,1313 4th St,Kirkland,WA 98033,USA
84,84,18416 172nd Ct SE,Renton,WA 98058,USA
85,85,8082-8160 142nd Ave NE,Redmond,WA 98052,USA
86,86,512-598 21st Ave,Seattle,WA 98122,USA
87,87,2476 239th Pl NE,Sammamish,WA 98074,USA
88,88,18125 194th Ave NE,Woodinville,WA 98077,USA
89,89,2065 NE Nelson Ln,Issaquah,WA 98029,USA
90,90,15801 63rd Ave NE,Kenmore,WA 98028,USA
91,91,2831 SW 327th St,Federal Way,WA 98023,USA
92,92,23726 NE 134th Pl,Redmond,WA 98053,USA
93,93,19293 Stone Ave N,Shoreline,WA 98133,USA
94,94,4018 NE 6th Ct,Renton,WA 98056,USA
